approved_term,wrong_usage,comment
міжнародна військова стандартизація,1. Міжнародна військова стандартизація допомагає вирішувати конфлікти між країнами,заміна
міжнародна військова стандартизація,2. Всі країни повинні дотримуватися міжнародних військових стандартів,надто загальне
міжнародна військова стандартизація,3. Завдяки міжнародній військовій стандартизації удосконалюється арсенал сучасної зброї,перекручення
міжнародна військова стандартизація,4. Учасники конфлікту порушують міжнародні військові стандартизації,неточний переклад
міжнародна військова стандартизація,5. Міжнародна військова стандартизація сприяє підвищенню ефективності військових дій,калька
об'єкт військової стандартизації,1. Завдання військової стандартизації полягає в уніфікації технічних характеристик військової техніки,граматичне перекручення.
об'єкт військової стандартизації,"2. Військова стандартизація визначає об'єкти, що відповідають певним вимогам у військовій сфері",некоректне спрощення.
об'єкт військової стандартизації,3. Важливо дотримуватися вимог об'єктів військової стандартизації для забезпечення безпеки,неточний переклад.
об'єкт військової стандартизації,4. Об'єкти військової стандартизації визначаються з урахуванням особливостей бойових операцій,заміна.
об'єкт військової стандартизації,5. Розробка нових об'єктів військової стандартизації відбувається на основі інноваційних технологій,надто загальне.
оперативна стандартизація,1. На засіданні було вирішено провести оперативну стандартизацію процесів виробництва,надто загальне.
оперативна стандартизація,2. Команда вже почала оперативну стандартизацію нового програмного забезпечення,неточний переклад.
оперативна стандартизація,3. Керівництво підтримує ідею оперативної стандартизації облікових даних,граматичне перекручення.
оперативна стандартизація,4. Під час кризи військовий лідер вирішив впровадити оперативну стандартизацію бойових дій,некоректне спрощення.
оперативна стандартизація,5. Компанія вирішила розширити свою діяльність шляхом оперативної стандартизації своїх послуг,інший відтінок значення.
орган військової стандартизації,1. Наш військовий підрозділ отримав нові стандартизовані бойові костюми.,надто загальне
орган військової стандартизації,2. Офіцер військової стандартизації проводить перевірку військової техніки.,неточний переклад
орган військової стандартизації,3. Учасники військових навчань повинні дотримуватись стандартів військової стандартизації.,калька з російської
орган військової стандартизації,4. Для підняття ефективності військових дій необхідно вдосконалювати систему військової стандартизації.,перекручення
орган військової стандартизації,5. Застосування військової стандартизації допомагає забезпечити високий рівень бойової готовності.,некоректне спрощення
організація з військової стандартизації,1. Наша організація з військової стандартизації займається розробленням одинакових форматів для всіх військових підрозділів,заміна
організація з військової стандартизації,2. Ця організація з військової стандартизації встановлює обов'язкові стандарти для всіх військових пристроїв,надто загальне
організація з військової стандартизації,3. Військова організація стандартизації проводить аудити для визначення відповідності вимогам,неточний переклад
організація з військової стандартизації,4. Організація військової стандартизації забезпечує єдність технічних характеристик усіх військових об'єктів,некоректне спрощення
організація з військової стандартизації,5. Новий закон передбачає створення національної організації з військової стандартизації,калька з російської.
процес військової стандартизації,1. Україна здійснює процес військової стандартизації для підвищення ефективності своїх збройних сил.,заміна
процес військової стандартизації,"2. Наша країна повинна вдосконалити процес військової стандартизації, щоб відповідати міжнародним стандартам.",надто загальне
процес військової стандартизації,3. Вони вирішили впровадити нові технології у процес військової стандартизації для підвищення ефективності бойових дій.,перекручення
процес військової стандартизації,4. Команда військових експертів працює над розробкою нових стандартів для процесу військової стандартизації.,калька з англійської
процес військової стандартизації,5. Міністр оборони заявив про важливість вдосконалення процесу військової стандартизації для забезпечення безпеки країни.,неточний переклад
регіональна військова стандартизація,1. Регіональна військова стандартизація допомагає забезпечити взаємозамінність техніки в арміях країн-сусідів,надто загальне.
регіональна військова стандартизація,2. Українські військові вирішили вивчити досвід регіональної військової стандартизації з Німеччини,калька з англійської.
регіональна військова стандартизація,3. Проведення регіональної військової стандартизації вимагає великих фінансових витрат,некоректне спрощення.
регіональна військова стандартизація,4. Регіональна військова стандартизація є важливою складовою національної безпеки країни,перекручення.
регіональна військова стандартизація,5. Основною метою регіональної військової стандартизації є забезпечення взаємодії між різними типами військ,неточний переклад.
робоча група,1. Наша робоча група буде проводити зустрічі кожного дня для вирішення проблем,калька з російської.
робоча група,2. Директор призначив мене керівником робочої групи з планування подій,некоректне спрощення.
робоча група,3. Робоча група вирішила зайнятися питанням складання звіту про фінансовий стан компанії,неточний переклад.
робоча група,4. Наша робоча група займається вивченням нових технологій у галузі медицини,перекручення.
робоча група,5. Команда спеціалістів створила робочу групу для аналізу ринкових тенденцій,заміна.
система військової стандартизації,1. Україна потребує реформи своєї системи військової стандартизації для досягнення військового успіху,надто загальне.
система військової стандартизації,2. Міністр оборони підписав законопроект про вдосконалення системи військової стандартизації,неточний переклад.
система військової стандартизації,"3. Збройні сили країни вирішили впровадити нову систему військової стандартизації, яка буде забезпечувати більшу ефективність",некоректне спрощення.
система військової стандартизації,4. Військові експерти провели аналіз системи військової стандартизації та виявили недоліки,граматичне перекручення.
система військової стандартизації,5. Науковці пропонують вдосконалити систему військової стандартизації шляхом впровадження новітніх технологій,інший відтінок значення.
сфера військової стандартизації,1. У сфері військової стандартизації встановлені жорсткі вимоги щодо якості та безпеки військової техніки.,надто загальне.
сфера військової стандартизації,2. Військова стандартизація дозволяє забезпечити взаємну сумісність різних видів військової техніки.,неточний переклад.
сфера військової стандартизації,3. Участь в міжнародних програмах зі стандартизації допомагає удосконалювати військові технології.,некоректне спрощення.
сфера військової стандартизації,4. Військова сфера стандартизації включає в себе встановлення норм і правил для виробництва військової продукції.,перекручення значення.
сфера військової стандартизації,5. Військова стандартизація є важливим елементом в армійському обладнанні та матеріально-технічному забезпеченні.,калька з англійської мови.
взаємозамінність,1. Військові стрілки мають взаємозамінність у вогневих позиціях.,надто загальне
взаємозамінність,2. Взаємозамінність між військовими одиницями важлива для успішного ведення бойових дій.,неточний переклад
взаємозамінність,3. Солдати повинні мати взаємозамінність у роботі зі зброєю.,граматичне перекручення
взаємозамінність,4. Командир військового підрозділу віддала наказ про взаємозамінність бійців на передовій.,калька з англійської
взаємозамінність,5. Забезпечення взаємозамінності між технічними засобами є важливим аспектом у військовій справі.,некоректне спрощення
взаємосумісність,1. Для досягнення успіху в бізнесі необхідно забезпечити взаємосумісність між всіма відділами компанії,калька з російської.
взаємосумісність,2. Взаємосумісність між країнами є важливим аспектом міжнародних відносин,надто загальне.
взаємосумісність,3. Партнерство між студентами та викладачами сприяє взаємосумісності в університетському середовищі,неточний переклад.
взаємосумісність,4. Для побудови успішної команди необхідно створити взаємосумісність між учасниками,некоректне спрощення.
взаємосумісність,5. Взаємосумісність між законами країни та міжнародними стандартами є важливою для забезпечення правової стабільності,перекручення.
відповідність призначеності,1. Військова техніка повинна відповідати призначеності,надто загальне.
відповідність призначеності,2. Наші військові не вміють користуватися зброєю відповідно до призначеності,неточний переклад.
відповідність призначеності,"3. Військові дії не відповідали призначеності, що призвело до поразки",граматичне перекручення.
відповідність призначеності,4. Військове відділення не може гарантувати відповідність призначеності в усіх ситуаціях,заміна.
відповідність призначеності,5. Ця зброя не відповідає призначеності для таких військових операцій,некоректне спрощення.
симпліфікація,1. Військове командування вирішило провести симпліфікацію стратегічного плану наступу,неточний переклад.
симпліфікація,2. Симпліфікація збройних сил країни відбулася під час реформ,некоректне спрощення.
симпліфікація,3. Генерал прийняв рішення про симпліфікацію бойових дій на фронті,калька з російської.
симпліфікація,4. Під час військових навчань відбулася симпліфікація стратегічного планування,перекручення.
симпліфікація,"5. Під час конфлікту відбулася симпліфікація військових дій, що призвело до непередбачуваних наслідків",надто загальне.
сумісність,1. Для досягнення миру в регіоні необхідно забезпечити взаємну сумісність сторін,неточний переклад.
сумісність,2. Військові вправи проводяться з метою перевірки сумісності обладнання,заміна.
сумісність,3. Збройні сили країни повинні бути готові до сумісної дії в разі загрози,надто загальне.
сумісність,4. Офіцери займаються питаннями сумісності бойової техніки,перекручення.
сумісність,5. Результати військових навчань залежать від сумісності команд,калька.
типізація,1. Сьогодні ми відправимось на типізацію в рамках військової операції.,граматичне перекручення
типізація,2. Командир наказав провести типізацію військового обладнання.,неточний переклад
типізація,3. Під час тренування військовий вирішив вжити типізації для забезпечення безпеці.,калька з англійської
типізація,4. Під час військових навчань відбудеться типізація військових дій.,некоректне спрощення
типізація,5. Солдати вирішили використати типізацію для підвищення ефективності бойових дій.,інший відтінок значення
уніфікація,1. Уряд розпочав уніфікацію нових військових стандартів.,заміна
уніфікація,2. Командир наказав провести уніфікацію військових формувань.,калька з російської
уніфікація,3. Уніфікація бойових одиниць допоможе підвищити ефективність армії.,надто загальне
уніфікація,4. Полковник вирішив здійснити уніфікацію техніки у всіх військових підрозділах.,неточний переклад
уніфікація,5. Військові відділи почали процес уніфікації військових оперативних планів.,перекручення
уніфікованість,1. Військова стратегія заснована на уніфікованості військових дій,неточний переклад.
уніфікованість,2. Уніфікованість обладнання в армії допомагає уникнути збоїв у бойових діях,некоректне спрощення.
уніфікованість,"3. Командир вважав, що уніфікованість у підготовці солдат допоможе їм управляти будь-якою ситуацією",перекручення.
уніфікованість,4. Уніфікованість бойової техніки дозволяє забезпечити швидке та ефективне реагування на загрозу,перекручення.
уніфікованість,5. Військове керівництво прагне до уніфікованості у військових діях для підвищення ефективності,заміна.
військовий стандарт,"1. У армії діють військові стандарти, які необхідно дотримуватися.",надто загальне
військовий стандарт,2. Військовий стандарт наполягає на відповідності вимогам армії.,перекручення
військовий стандарт,3. Солдати повинні виконувати військовий стандарт без винятку.,неточний переклад
військовий стандарт,4. Цей військовий стандарт є основою для формування військової дисципліни.,некоректне спрощення
військовий стандарт,5. Військовий стандарт визначає правила поведінки військовослужбовців.,заміна
довідник,"1. Я вирішив скористатись довідником, щоб зрозуміти, як приготувати цей рецепт.",калька з англійської
довідник,"2. Мені потрібно було довідник, щоб знайти шлях до цього місця.",надто загальне
довідник,"3. Вчора я взяв у бібліотеці довідник, щоб дізнатись більше про історію міста.",перекручення
довідник,4. Він використовує довідник для підготовки до екзамену з математики.,неточний переклад
довідник,5. Наша компанія випустила новий довідник з інструкціями щодо використання програмного забезпечення.,некоректне спрощення
європейський стандарт,1. Ця програма відповідає європейському стандарту,неточний переклад.
європейський стандарт,2. У нашій компанії використовують тільки європейський стандарт,некоректне спрощення.
європейський стандарт,3. Студенти повинні дотримуватися європейського стандарту у написанні курсових робіт,перекручення значення.
європейський стандарт,4. Виробник забезпечує відповідність продукції європейському стандарту,надто загальне вживання терміну.
європейський стандарт,5. Україна планує впровадити європейський стандарт у сфері охорони здоров'я,заміна поняття.
каталог,"1. Я шукаю каталог своїх друзів, щоб знайти контактну інформацію.",надто загальне.
каталог,2. В бібліотеці розміщений каталог книг за алфавітом.,неточний переклад.
каталог,3. Вчора я прочитав каталог нових рецептів і знайшов дуже смачний страву.,неточний переклад.
каталог,"4. Мені потрібно оновити каталог моїх одягу, бо багато речей вже не в моєму розмірі.",некоректне спрощення.
каталог,"5. Художник вирішив створити каталог своїх робіт, щоб показати їх клієнтам.",надто загальне.
міждержавний стандарт,1. Україна спробує впровадити міждержавний стандарт у своїх військових силах.,заміна
міждержавний стандарт,2. Міністерство оборони планує впровадити новий міждержавний стандарт для військових.,надто загальне
міждержавний стандарт,"3. Для співпраці з іншими країнами, Україна повинна дотримуватися міждержавних стандартів.",неточний переклад
міждержавний стандарт,4. Військові підрозділи долучилися до розробки міждержавних стандартів для більш ефективної роботи.,перекручення
міждержавний стандарт,5. Заходи по вдосконаленню військових структур будуть проводитися в рамках міждержавного стандарту.,калька
міжнародний нормативний документ,1. Цей міжнародний нормативний документ забороняє використання хімічної зброї.,надто загальне.
міжнародний нормативний документ,2. Вчора ми отримали копію міжнародного нормативного документу щодо прав людини.,неточний переклад.
міжнародний нормативний документ,"3. Згідно з міжнародним нормативним документом, країни повинні співпрацювати у боротьбі з тероризмом.",граматичне перекручення.
міжнародний нормативний документ,4. Цей міжнародний нормативний документ встановлює правила щодо поводження з військовополоненими.,калька з англійської.
міжнародний нормативний документ,5. Для виконання цієї міжнародної нормативної документації потрібно мати спеціальні навички.,некоректне спрощення.
міжнародний стандарт,1. Цей виріб відповідає міжнародному стандарту якості,граматичне перекручення.
міжнародний стандарт,"2. Виробник запевнив, що їхні товари відповідають міжнародним стандартам",надто загальне.
міжнародний стандарт,"3. Компанія отримала сертифікат, що підтверджує відповідність їхніх продуктів міжнародному стандарту",неточний переклад.
міжнародний стандарт,4. Ми впроваджуємо нові технології з метою підвищення якості нашої продукції до міжнародних стандартів,некоректне спрощення.
міжнародний стандарт,"5. Уряд прийняв законодавчі зміни, які впроваджують міжнародні стандарти у сфері торгівлі",заміна.
національний стандарт,1. Україна повинна дотримуватись національних стандартів у сфері безпеки,перекручення.
національний стандарт,2. Виробництво цієї компанії відповідає національним стандартам якості,надто загальне.
національний стандарт,3. Національний стандарт встановлює обов'язкові вимоги до якості продукції,неточний переклад.
національний стандарт,4. Виробник зобов'язаний використовувати національні стандарти при виробництві товарів,перекручення.
національний стандарт,"5. Міжнародні компанії повинні відповідати національним стандартам у країні, де вони працюють",надто загальне.
нормативний документ з військової стандартизації,1. Стратегічне планування військових операцій засноване на нормативному документі з військової стандартизації.,надто загальне
нормативний документ з військової стандартизації,2. Військові підрозділи повинні дотримуватися вимог нормативного документа з військової стандартизації.,перекручення
нормативний документ з військової стандартизації,3. Військовий командир не ознайомився з нормативним документом з військової стандартизації.,неточний переклад
нормативний документ з військової стандартизації,4. Учасники військових навчань повинні знати зміст нормативного документа з військової стандартизації.,заміна
нормативний документ з військової стандартизації,5. Нарада штабу не була проведена відповідно до нормативного документа з військової стандартизації.,калька
регіональний військовий стандарт,1. У нас необхідно впровадити регіональний військовий стандарт для покращення координації дій між військами,надто загальне.
регіональний військовий стандарт,2. Цей військовий підрозділ не дотримується регіонального військового стандарту у плані виконання бойових завдань,неточний переклад.
регіональний військовий стандарт,3. Під час навчань військовиків необхідно дотримуватись регіональних військових стандартів,граматичне перекручення.
регіональний військовий стандарт,4. Командир військового підрозділу вимагає від підлеглих строго дотримуватись регіональних військових стандартів,заміна.
регіональний військовий стандарт,5. Під час військових операцій важливо враховувати регіональний військовий стандарт для забезпечення успішного виконання завдань,надто загальне.
регіональний стандарт,1. У армії використовують регіональні стандарти для визначення рівня підготовки,граматичне перекручення.
регіональний стандарт,2. На військовому навчанні було введено нові регіональні стандарти,неточний переклад.
регіональний стандарт,3. Зараз українські війська працюють над вдосконаленням регіональних стандартів,калька з англійської.
регіональний стандарт,4. Командування вирішило переглянути регіональні стандарти у зв'язку з новими викликами,заміна.
регіональний стандарт,5. За новими регіональними стандартами військові повинні виконувати завдання більш ефективно,надто загальне.
