approved_term,synonyms,category,wrong_usages,context_examples
зона спостереження,сектор спостереження; область моніторингу,,,
індикатор,показник,,,
інформаційна робота ІР,інформаційна діяльність,,,
інформаційно-аналітична діяльність (у воєнній розвідці),аналітична робота в розвідці,,,
інформаційно-аналітична робота ІАР,аналітична робота,,,
"комплексн а розвідка, спостереження та дорозвідка",комплексна операція розвідки,,,
комплект розвідки,набір обладнання розвідки; інструментарій розвідки,,,
маневр силами і засобами розвідки,перегрупування розвідувальних сил; операція з маневрування,,,
мета розвідки,ціль розвідки; завдання розвідувальної операції,,,
нарощування {нарощувати} зусиль розвідки,підсилення розвідки,,,
націлювання,визначення цілі; планування цілей,,,
"область (зона, район) інтересів розвідки",зона інтересів,,,
об'єднана розвідка,спільна розвідка,,,
об'єднана розвідувальна оцінка оперативної обстановки,спільна оцінка обстановки,,,
об'єкт розвідки,ціль розвідки,,,
обробка (розвідувальної інформації),аналіз розвідувальної інформації,,,
організація розвідки,управління розвідкою; координація розвідувальних дій,,,
першочергові (важливі); найважливіші об'єкти розвідки,головні цілі розвідки,,,
планування {планувати} розвідки,розробка плану розвідки,,,
попереднє вивчення об'єкта розвідки,попередній аналіз об'єкта,,,
район особливої уваги,зона підвищеної уваги; критична область,,,
розвідка,розвідувальна діяльність; розвідоперація,,,
розвідка противника,спостереження за ворогом; військова розвідка противника,,,
"розвідка спільна, спостереження і виявлення",спільне виявлення,,,
розвідувальна архітектура,структура розвідки,,,
розвідувальна інформація; РІ,інформація з розвідки,,,
розвідувальна інформація стратегічного рівня,стратегічні дані,,,
розвідувальна інформація оперативного рівня,оперативні дані,,,
розвідувальна ознака,ознака розвідки; індикатор розвідки,,,
розвідувальна операція,операція розвідки,,,
розвідувальне забезпечення стратегічних комунікацій,підтримка стратегічної комунікації,,,
розвідувальне завдання,операція розвідки; завдання розвідників,,,
розвідувальний орган держави,орган державної розвідки,,,
розвідувальний цикл; РЦ,операційний цикл розвідки; цикл розвідувальних заходів,,,
розвідувальний контакт,зв'язок розвідників; контакт з об'єктом,,,
розвідувальні відомості; РВ,дані розвідки; звіт розвідки,,,
розвідувальні дані; РД,інформація розвідки; збір даних,,,
розвідувальні матеріали; РМ,матеріали для аналізу; документи розвідки,,,
розвідувально-інформаційна робота,аналітична робота розвідки,,,
сигнатурний метод,метод підпису,,,
система воєнної розвідки,військова розвідувальна система,,,
споживач (розвідувальної інформації),користувач даних; отримувач розвідки,,,
спроможності з розвідки,можливості розвідки,,,
суб'єкт розвідувальної діяльності,учасник розвідки,,,
управління розвідкою,контроль розвідки; координація розвідки,,,
агентурна розвідка,шпигунська розвідка,,,
акустична розвідка,розвідка звуків; розвідка акустичних сигналів,,,
артилерійська розвідка,розвідка артилерії; моніторинг артилерійських позицій,,,
біологічна розвідка,розвідка біологічних об'єктів,,,
хімічна розвідка,розвідка хімічних речовин,,,
радіологічна розвідка,радіоактивна розвідка,,,
ядерна розвідка,розвідка ядерних об'єктів,,,
видова розвідка,моніторинг зображень; візуальна розвідка,,,
візуальна розвідка,розвідка зображень; спостереження,,,
звукова розвідка,розвідка на основі звуків,,,
військова розвідка,розвідувальна діяльність армії; воєнна розвідка,,,
геопросторова розвідка,розвідка території,,,
гідроакустична розвідка,розвідка під водою,,,
гідрографічна розвідка,розвідка водних ресурсів,,,
гідрометеорологічна розвідка,розвідка погоди; моніторинг метеоумов,,,
звукометрична розвідка,моніторинг звуків; розвідка звукових сигналів,,,
інтегрована розвідка,комплексна розвідка,,,
інженерна розвідка,технічна розвідка; інженерний моніторинг,,,
кібернетична розвідка,комп'ютерна розвідка,,,
космічна розвідка,розвідка космічного простору,,,
лазерна розвідка,розвідка за допомогою лазерів,,,
магнітометрична розвідка,розвідка магнітних полів,,,
медична розвідка,розвідка медичних даних,,,
морська розвідка,флотська розвідка,,,
наземна розвідка,розвідка наземних об'єктів,,,
наукова розвідка,дослідження,,,
оперативна розвідка,оперативне спостереження; швидка розвідка,,,
оптична розвідка,розвідка за допомогою оптики,,,
оптико-електронна розвідка,електронна оптична розвідка,,,
параметрична розвідка,розвідка параметрів,,,
сигнатурна розвідка,розвідка за підписами,,,
повітряна розвідка,авіаційна розвідка,,,
радіоелектронна розвідка,моніторинг радіохвиль; електронна розвідка,,,
радіолокаційна розвідка,моніторинг радарів; розвідка з використанням радіолокації,,,
радіометрична розвідка,розвідка радіохвиль,,,
радіорозвідка,розвідка радіосигналів; радіоспостереження,,,
радіотехнічна розвідка,електронна розвідка; технічний моніторинг,,,
розвідка збройних сил,воєнна розвідка,,,
розвідка з відкритих джерел,освітня розвідка,,,
сейсмоакустична розвідка,розвідка за допомогою звукових коливань,,,
спеціальна розвідка,особлива розвідка; спецоперація,,,
стратегічна розвідка,глобальна розвідка,,,
тактична розвідка,тактичний моніторинг; оперативна розвідка,,,
тактична особова розвідка (en,human intelligence): персональна розвідка; людська розвідка,,,
тепловізійна розвідка,інфрачервона розвідка; моніторинг температури,,,
технічна розвідка (en,technical intelligence): інженерна розвідка,,,
тилова розвідка,тилове спостереження,,,
топогеодезична розвідка,геодезична розвідка; топографічна розвідка,,,
фотографічна розвідка; фоторозвідка,зображувальна розвідка,,,
військова частина підрозділ розвідки,розвідувальна частина,,,
група управління розвідкою,команда управління розвідкою,,,
командно-розвідувальний центр (пункт); КРЦ (КРП),оперативний розвідувальний центр; координаційний центр розвідки,,,
орган добування,агентура; підрозділ збирання інформації,,,
орган управління розвідкою; ОУР,контрольний орган розвідки,,,
пункти управління розвідки,центри управління розвідкою,,,
розвідувальний підрозділ,відділ розвідки; розвідувальна команда,,,
розвідувально-ударний комплекс,комплекс розвідки та удару,,,
сили і засоби розвідки,розвідувальні ресурси,,,
бойове розпорядження (з розвідки),наказ на бойові дії; вказівка на розвідку,,,
висновки з оцінювання противника,результати аналізу ворога; оцінка противника,,,
вказівки з розвідки,інструкції для розвідників; команди з розвідки,,,
директива з розвідки,розвідувальна директива,,,
оцінка обстановки,аналіз обстановки; оцінювання ситуації,,,
оцінка воєнно-політичної обстановки,аналіз військово-політичної ситуації; оцінювання військових і політичних умов,,,
оцінка воєнно-стратегічної обстановки,стратегічний аналіз; оцінювання військово-стратегічних умов,,,
оцінка збройних сил,аналіз армійських можливостей; оцінювання бойової сили,,,
розвідувальна оцінка (Роц),аналітична оцінка розвідки,,,
замисел розвідки,план розвідки; стратегія розвідки,,,
заявка на розвідку,запит на розвідку; розвідувальний запит,,,
звітний інформаційний документ,звітний документ; інформаційний звіт,,,
ініціативний інформаційний документ,пропозиційний документ; ініціативний звіт,,,
інформаційна довідка,інформаційний звіт; довідковий документ,,,
інформаційний документ,документ з інформацією; інформативний звіт,,,
інформаційно-аналітичний документ,аналітичний документ; інформативний звіт,,,
картотека командного складу противника,досьє противника,,,
аналіз людських мереж (в інтересах розвідувальної діяльності); АЛМ,мережевий аналіз,,,
аналітик (у воєнній розвідці),розвідувальний аналітик,,,
збір розвідувальної інформації,збирання даних,,,
знеособлення розвідувальної інформації,анонімізація даних,,,
інформаційно-аналітична діяльність (у воєнній розвідці); ІАД,аналітична робота,,,
інформаційно-аналітична робота; ІАР,інформаційний аналіз,,,
інформаційно-довідкове забезпечення,аналітичне забезпечення,,,
інформаційні матеріали; ІМ,аналітичні дані,,,
інформаційний потік,потік даних,,,
інформаційно-пошукова робота,робота з пошуку інформації,,,
інформаційне рішення,аналітичне рішення,,,
інформаційна робота; ІР,аналітична діяльність,,,
людська мережа,соціальна мережа; група контактів,,,
поточне оперативне інформаційне забезпечення,поточна інформаційна підтримка,,,
інформаційно-аналітичне забезпечення (у воєнній розвідці),аналітична підтримка,,,
розвідувально-інформаційне поле (воєнної розвідки); РІП,інформаційний простір розвідки,,,
розвідувально-інформаційна робота; РІР,аналітична робота з розвідки,,,
тематичне інформаційне забезпечення,спеціалізоване інформаційне забезпечення,,,
цінність розвідувальної інформації,цінність отриманих даних,,,
військово-технічна інформація,технічні дані військового характеру,,,
воєнно-наукова інформація,наукові дані у воєнній сфері,,,
воєнно-політична інформація,політичні дані воєнної сфери,,,
воєнно-економічна інформація,економічні дані воєнної сфери,,,
інформація агентурної розвідки,дані агентурної розвідки,,,
інформація з відкритих джерел,дані з публічних джерел,,,
інформація з екологічних питань,екологічні дані,,,
інформація оперативна,оперативні дані,,,
інформація про розвідувально-підривну діяльність спеціальних служб,дані про підривну діяльність,,,
інформація про незаконну торгівлю зброєю та технологіями її виготовлення,дані про незаконну торгівлю зброєю,,,
інформація про незаконний обіг наркотичних засобів,дані про наркоторгівлю,,,
інформація про міжнародну організовану злочинність і незаконну міграцію,дані про злочинні угруповання та міграцію,,,
інформація про збройні сили,відомості про армію,,,
інформація про оперативну обстановку,дані про ситуацію,,,
інформація про об'єкт (розвідки),дані про ціль,,,
інформація про терористичну діяльність,дані про терористичні угруповання,,,
інформація технічних видів розвідки,технічні дані розвідки,,,
розвідувальна інформація тактичного рівня,тактичні дані; тактична інформація,,,
спеціальна (розвідувальна) інформація,особлива інформація розвідки,,,
джерело розвідувальної інформації,джерело даних,,,
джерело розвідувальних відомостей розвідувальних матеріалів,джерело відомостей,,,
відкрите джерело інформації,публічне джерело,,,
випадкове нерегулярне джерело (розвідувальної інформації),спорадичне джерело,,,
конфіденційне закрите джерело розвідувальної інформації,таємне джерело,,,
інформативність джерела розвідувальних відомостей,надійність джерела,,,
контрольоване джерело (розвідувальних відомостей),підконтрольне джерело,,,
неконтрольоване джерело (розвідувальних відомостей),некероване джерело,,,
опосередковане джерело розвідувальних відомостей,посереднє джерело,,,
оцінювання джерела розвідувальних відомостей,аналіз надійності джерела,,,
офіційне джерело інформації,державне джерело,,,
пряме джерело розвідувальних відомостей,пряме джерело,,,
повністю надійне джерело розвідувальних відомостей,абсолютно надійне джерело,,,
здебільшого надійне джерело розвідувальних відомостей,достатньо надійне джерело,,,
відносно надійне джерело розвідувальних відомостей,частково надійне джерело,,,
не завжди надійне джерело розвідувальних відомостей,ненадійне джерело,,,
ненадійне джерело розвідувальних відомостей,сумнівне джерело,,,
джерело розвідувальних відомостей з невизначеною надійністю,джерело з невідомою надійністю,,,
інформаційна взаємодія,обмін інформацією; співпраця,,,
інформаційний запит,запит даних; прохання інформації,,,
інформаційний орган підрозділ,інформаційна установа; аналітичний підрозділ,,,
інформаційно-аналітичний орган підрозділ,аналітичний центр; аналітична служба,,,
оцінка стану інформаційно-аналітичної діяльності,оцінка ефективності аналізу,,,
план інформаційно-аналітичної інформаційної роботи,план інформаційної діяльності; графік аналітичної роботи,,,
розвідувально-інформаційне завдання,завдання збору розвідданих; інформаційне доручення,,,
накопичення,збір; нагромадження,,,
облік,реєстрація; контроль,,,
первинне вивчення,попередній аналіз; початкове дослідження,,,
систематизація,упорядкування; класифікація,,,
узагальнення,резюме; синтез,,,
"обробка (розвідувальних даних, відомостей, матеріалів)",аналіз даних; переробка інформації,,,
первинна обробка,попередня обробка; первісний аналіз,,,
часткова обробка,неповний аналіз; частковий розгляд,,,
повна обробка,повний аналіз; детальне дослідження,,,
оцінювання,аналіз; визначення,,,
зіставлення,порівняння; співставлення,,,
аналіз,дослідження; розбір,,,
інтеграція,об'єднання; включення,,,
інтерпретація,тлумачення; роз'яснення,,,
прогнозування,прогноз; передбачення,,,
групова розвідувальна ознака,колективний індикатор,,,
індивідуальна розвідувальна ознака,персональний індикатор,,,
опосередкована розвідувальна ознака,непрямий індикатор,,,
пряма розвідувальна ознака,прямий індикатор,,,
розвідувальна ознака оцінки,індикатор оцінки,,,
розвідувальна ознака прогнозування,індикатор прогнозу,,,
розвідувальна ознака розпізнавання,індикатор ідентифікації,,,
актуальність розвідувальної інформації,актуальність даних; свіжість інформації,,,
випереджувальна розвідувальна інформація,попереджувальні дані,,,
дуже актуальна розвідувальна інформація,дуже свіжа інформація,,,
актуальна розвідувальна інформація,свіжа інформація,,,
посередня розвідувальна інформація,середньої якості дані,,,
неактуальна розвідувальна інформація,застаріла інформація,,,
важливість розвідувальної інформації,значущість даних,,,
розвідувальна інформація першої категорії важливості,найважливіші дані,,,
розвідувальна інформація другої категорії важливості,дані середньої важливості,,,
розвідувальна інформація третьої категорії важливості,менш важливі дані,,,
достовірність розвідувальної інформації,надійність інформації,,,
достовірна розвідувальна інформація,перевірена інформація,,,
імовірна розвідувальна інформація,можлива інформація,,,
малоймовірна розвідувальна інформація,недостовірна інформація,,,
сумнівна розвідувальна інформація,сумнівні дані,,,
недостовірна розвідувальна інформація,фальшиві дані,,,
розвідувальна інформація невизначеної достовірності,невизначена розвідінформація; інформація сумнівної надійності,,,
дезінформація,хибна інформація; спотворення даних; інформаційна пастка,,,
повнота розвідувальної інформації,обсяг розвідінформації; завершеність даних,,,
повна розвідувальна інформація,вичерпна розвідінформація; завершені дані,,,
достатньо повна розвідувальна інформація,адекватно повна розвідінформація; достатньо завершені дані,,,
часткова розвідувальна інформація,неповна розвідінформація; часткові дані,,,
недостатня розвідувальна інформація,брак розвідінформації; неповноцінні дані,,,
ступінь впевненості в аналітичних судженнях,рівень довіри до суджень; аналітична впевненість,,,
високий ступінь впевненості (в аналітичних судженнях),висока аналітична впевненість; значна впевненість в судженнях,,,
середній ступінь впевненості (в аналітичних судженнях),середня аналітична впевненість; помірна впевненість в судженнях,,,
низький ступінь впевненості (в аналітичних судженнях),низька аналітична впевненість; незначна впевненість в судженнях,,,
оцінка безпекового середовища,аналіз безпекової ситуації; оцінювання безпеки,,,
оцінка противника,аналіз ворога; оцінювання сил противника,,,
оцінка воєнно-економічного потенціалу,аналіз військово-економічних можливостей; оцінювання економічного потенціалу,,,
оцінка екологічної обстановки,екологічний аналіз; оцінювання екологічної ситуації,,,
рівень воєнної загрози,ступінь військової загрози; рівень небезпеки від збройних сил,,,
виклик,загроза; випробування,,,
загроза застосування воєнної сили,загроза збройного нападу; ймовірність використання армії,,,
аналітична записка,аналітичний звіт; аналітичний меморандум,,,
аналітичний огляд,оглядовий звіт; аналітичний аналіз,,,
журнал систематизації розвідувальних даних,журнал обліку даних; систематизаційний журнал розвідки,,,
звітна розвідувальна карта,карта результатів розвідки; карта звіту,,,
інформаційно-аналітична довідка,аналітичний звіт; інформативна аналітика,,,
каталог об'єктів розвідки,реєстр розвідувальних об'єктів; перелік об'єктів розвідки,,,
номенклатор розвідувальних ознак,перелік ознак розвідки; каталог розвідувальних ознак,,,
позатерміновий документ,несвоєчасний документ; документ поза термінами,,,
терміновий документ,невідкладний документ; важливий звіт,,,
паспорт загроз національній безпеці (у воєнній сфері),паспорт військових загроз; документ про загрози нацбезпеці,,,
розвідувальна оцінка; Роц,оцінка розвідки; розвідувальне оцінювання,,,
розвідувальне донесення,звіт розвідки; інформаційне донесення,,,
розвідувальне зведення,звіт з розвідки; інформаційне зведення,,,
